t3_um,radius_um,pressure_pa,capacitance_fF
2.0,350.0,2300.0,458.7
2.0,350.0,2400.0,463.58
2.0,350.0,2500.0,468.48
2.0,350.0,2600.0,473.39
2.0,350.0,2700.0,478.33
2.0,350.0,2800.0,483.3
2.0,350.0,2900.0,488.31
2.0,350.0,3000.0,493.35
2.0,350.0,3100.0,498.44
2.0,350.0,3200.0,503.57
2.0,350.0,3300.0,508.76
2.0,350.0,3400.0,514.0
2.0,350.0,3500.0,519.3
2.0,350.0,3600.0,524.67
2.0,350.0,3700.0,530.1
2.0,350.0,3800.0,535.61
2.0,350.0,3900.0,541.2
2.0,350.0,4000.0,546.86
2.0,350.0,4100.0,552.62
2.0,350.0,4200.0,558.47
2.0,350.0,4300.0,564.42
2.0,350.0,4400.0,570.47
2.0,350.0,4500.0,576.63
2.0,350.0,4600.0,582.91
2.0,350.0,4700.0,589.32
2.0,350.0,4800.0,595.85
2.0,350.0,4900.0,602.52
2.0,350.0,5000.0,609.34
2.0,350.0,5100.0,616.32
2.0,350.0,5200.0,623.46
2.0,350.0,5300.0,630.77
2.0,350.0,5400.0,638.27
2.0,350.0,5500.0,645.97
2.0,350.0,5600.0,653.88
2.0,350.0,5700.0,662.01
2.0,350.0,5800.0,670.38
2.0,350.0,5900.0,679.01
2.0,350.0,6000.0,687.91
2.0,350.0,6100.0,697.1
2.0,350.0,6200.0,706.6
2.0,350.0,6300.0,716.45
2.0,350.0,6400.0,726.66
2.0,350.0,6500.0,737.26
2.0,350.0,6600.0,748.3
2.0,350.0,6700.0,759.8
2.0,350.0,6800.0,771.81
2.0,350.0,6900.0,784.38
2.0,350.0,7000.0,800.52
2.0,350.0,7100.0,807.07
2.0,350.0,7200.0,813.72
2.0,350.0,7300.0,820.47
2.0,350.0,7400.0,827.32
2.0,350.0,7500.0,834.29
2.0,350.0,7600.0,841.36
2.0,350.0,7700.0,848.55
2.0,350.0,7800.0,855.86
2.0,350.0,7900.0,863.37
2.0,350.0,8000.0,870.36
2.0,350.0,8100.0,877.43
2.0,350.0,8200.0,884.5
2.0,350.0,8300.0,891.35
2.0,350.0,8400.0,898.32
2.0,350.0,8500.0,904.92
2.0,350.0,8600.0,911.59
2.0,350.0,8700.0,918.14
2.0,350.0,8800.0,924.63
2.0,350.0,8900.0,931.15
2.0,350.0,9000.0,937.38
2.0,350.0,9100.0,943.67
2.0,350.0,9200.0,949.83
2.0,350.0,9300.0,956.02
2.0,350.0,9400.0,962.01
2.0,350.0,9500.0,968.01
2.0,350.0,9600.0,973.92
2.0,350.0,9700.0,979.77
2.0,350.0,9800.0,985.55
2.0,350.0,9900.0,991.29
2.0,350.0,10000.0,996.99
2.0,350.0,10100.0,1002.6
2.0,350.0,10200.0,1008.1
2.0,350.0,10300.0,1013.6
2.0,350.0,10400.0,1019.2
2.0,350.0,10500.0,1024.4
2.0,350.0,10600.0,1029.7
2.0,350.0,10700.0,1035.0
2.0,350.0,10800.0,1040.2
2.0,350.0,10900.0,1045.4
2.0,350.0,11000.0,1050.5
2.0,350.0,11100.0,1055.6
2.0,350.0,11200.0,1060.6
2.0,350.0,11300.0,1065.6
2.0,350.0,11400.0,1070.5
2.0,350.0,11500.0,1075.4
2.0,350.0,11600.0,1080.3
2.0,350.0,11700.0,1085.1
2.0,350.0,11800.0,1089.8
2.0,350.0,11900.0,1094.5
2.0,350.0,12000.0,1099.2
2.0,350.0,12100.0,1103.8
2.0,350.0,12200.0,1108.4
2.0,350.0,12300.0,1113.0
2.0,350.0,12400.0,1117.4
2.0,350.0,12500.0,1121.9
2.0,350.0,12600.0,1126.3
2.0,350.0,12700.0,1130.7
2.0,350.0,12800.0,1135.1
2.0,350.0,12900.0,1139.4
2.0,350.0,13000.0,1143.6
2.0,350.0,13100.0,1147.9
2.0,350.0,13200.0,1152.1
2.0,350.0,13300.0,1156.3
2.0,350.0,13400.0,1160.4
2.0,350.0,13500.0,1164.5
2.0,350.0,13600.0,1168.6
2.0,350.0,13700.0,1172.7
2.0,350.0,13800.0,1176.6
2.0,350.0,13900.0,1180.6
2.0,350.0,14000.0,1184.6
2.0,400.0,0.0,406.36
2.0,400.0,100.0,439.8
2.0,400.0,200.0,460.13
2.0,400.0,300.0,476.35
2.0,400.0,400.0,490.58
2.0,400.0,500.0,503.63
2.0,400.0,600.0,515.93
2.0,400.0,700.0,527.71
2.0,400.0,800.0,539.12
2.0,400.0,900.0,550.28
2.0,400.0,1000.0,561.27
2.0,400.0,1100.0,572.16
2.0,400.0,1200.0,582.99
2.0,400.0,1300.0,593.81
2.0,400.0,1400.0,604.66
2.0,400.0,1500.0,615.57
2.0,400.0,1600.0,626.57
